"Extension","Category","Format","Developer","Mime Type","Programming Language"
".settings","Settings Files","Text","Microsoft","mime-type/not.available","Not Found"
".sf","Audio Files","Not Available","Not Available","mime-type/not.available","Not Found"
".show","Data Files","Binary","Hancom","application/x-sh","Not Found"
".sht","Web Files","Not Available","Not Available","application/x-sh","Not Found"
".so","Developer Files","Binary","Not Available","mime-type/not.available","Not Found"
".htpasswd","Encoded Files","Not Available","Not Available","mime-type/not.available","Not Found"
".sph","Audio Files","Binary","NIST","text/x-asm","Not Found"
".split","Misc Files","Not Available","Incredible Bee","application/x-futuresplash","Not Found"
".idf","Settings Files","Not Available","Not Available","mime-type/not.available","Not Found"
".story","Text Files","Binary","Storyist Software","text/x-asm","Not Found"
".swd","Developer Files","Not Available","Adobe","mime-type/not.available","Not Found"
".imp","Audio Files","Binary","Adobe","application/vnd.accpac.simply.imp","Not Found"
".sys","Common File Types","Text and Binary","Microsoft","text/x-asm","Not Found"
".in","Data Files","Text","Not Available","mime-type/not.available","Not Found"
".tex","Common File Types","Text","Donald Knuth","text/troff","TeX"
".indt","Page Layout Files","Not Available","Adobe","mime-type/not.available","Not Found"
".tga","Common File Types","Binary","Avid Technology","text/troff","Not Found"
".thm","Misc Files","Not Available","Sony Ericsson","text/troff","Not Found"
".ipl","Game Files","Text","Rockstar Games","mime-type/not.available","Not Found"
".tlp","Data Files","Text","David Auber and Patrick Mary","mime-type/not.available","Not Found"
".job","CAD Files","Binary","Metamation","mime-type/not.available","Not Found"
".tsv","Data Files","Text","Not Available","text/troff","Not Found"
".utf8","Text Files","Text","Not Available","mime-type/not.available","Not Found"
".jpf","Raster Image Files","Binary","Joint Photographic Experts Group","mime-type/not.available","Not Found"
".wbmp","Raster Image Files","Binary","Not Available","image/vnd.wap.wbmp","Not Found"
".jsd","Page Layout Files","Not Available","HP","application/javascript","Not Found"
".wp","Text Files","Not Available","Corel","application/wordperfect","Not Found"
".jtp","Page Layout Files","Binary","Microsoft","mime-type/not.available","Not Found"
".wps","Settings Files","Not Available","SDL","application/vnd.ms-works","Not Found"
".wri","Text Files","Binary","Microsoft","application/x-mswrite","Not Found"
".ks","System Files","Text","Not Available","mime-type/not.available","Not Found"
".wsc","Game Files","Binary","Not Available","text/scriplet","Not Found"
".xsp","Audio Files","XML","XBMC Foundation","mime-type/not.available","Not Found"
".lha","Compressed Files","Binary","Not Available","application/lha","Not Found"
".zml","Misc Files","XML","Zoomorama","mime-type/not.available","Not Found"
".lng","Data Files","Binary","AVG Technologies","mime-type/not.available","Not Found"
".loc","Game Files","Text","Not Available","mime-type/not.available","Not Found"
".log2","System Files","Binary","Microsoft","mime-type/not.available","Not Found"
".lua","Developer Files","Text","Lua","mime-type/not.available","Lua"
".mag","Data Files","Binary","Open Circuit Design","application/vnd.ecowin.chart","Not Found"
